Company Name,Country,Sector,Website,Status,Assigned To
AudioCubes,USA,Electronics & Appliances,audiocubes.com,Open,Jayden
Shopping In Japan,USA,Electronics & Appliances,shoppinginjapan.net,Open,Jayden
FUJIFILM Wako Chemicals USA,USA,Electronics & Appliances,wakousa.com,Open,Jayden
DigiKey,USA,Electronics & Appliances,digikey.jp,Open,Jayden
Airdog USA,USA,Electronics & Appliances,airdogusa.com,Open,Jayden
AIRROBO,USA,Electronics & Appliances,us.air-robo.com,Open,Jayden
Japan Trend Shop,USA,Electronics & Appliances,japantrendshop.com,Open,Jayden
Goods From Japan,USA,Electronics & Appliances,goodsofjapan.com,Open,Jayden
H.VIEW Security,USA,Electronics & Appliances,hviewsmart.com,Open,Jayden
Nexty Electronics,USA,Electronics & Appliances,nextyelectronics.com,Open,Jayden
Harajuku Streetwear,USA,Fashion & Apparel,harajukustreetwear.com,Open,Jayden
Yayukata,USA,Fashion & Apparel,yayukata.com,Open,Jayden
Akashi-Kama,USA,Fashion & Apparel,akashi-kama.com,Open,Jayden
Japan Clothing,USA,Fashion & Apparel,japan-clothing.com,Open,Jayden
TENSHI Streetwear,USA,Fashion & Apparel,tenshi-streetwear.com,Open,Jayden
Korokai,USA,Fashion & Apparel,korokai.com,Open,Jayden
SNOB ASIA,USA,Fashion & Apparel,snobasia.com,Open,Jayden
Grease Point Workwear,USA,Fashion & Apparel,greasepointworkwear.com,Open,Jayden
Denimio,USA,Fashion & Apparel,denimio.com,Open,Jayden
Momotaro Jeans,USA,Fashion & Apparel,momotaro-jeans.com,Open,Jayden
Okayama Denim,USA,Fashion & Apparel,okayamadenim.com,Open,Jayden
Mildblend,USA,Fashion & Apparel,mildblend.com,Open,Jayden
IPPO Japan Watch,USA,Jewelry & Watches,ippojapanwatch.com,Open,Jayden
Minase,USA,Jewelry & Watches,minasewatches.com,Open,Jayden
Time Japan,USA,Jewelry & Watches,time-japan.com,Open,Jayden
Sakura Watches,USA,Jewelry & Watches,sakurawatches.com,Open,Jayden
TASAKI,USA,Jewelry & Watches,tasaki-global.com,Open,Jayden
Sakura Hoseki,USA,Jewelry & Watches,sakurahoseki.com,Open,Jayden
Hirotaka Jewelry,USA,Jewelry & Watches,hiro-taka.com,Open,Jayden
Nishohi USA,USA,Sports & Fitness,nishohi.com,Open,Jayden
Tozando International,USA,Sports & Fitness,tozandoshop.com,Open,Jayden
Yamato Budogu,USA,Sports & Fitness,yamatobudogu.com,Open,Jayden
Seido Shop,USA,Sports & Fitness,seidoshop.com,Open,Jayden
Nippon Budogu,USA,Sports & Fitness,nipponbudogu.com,Open,Jayden
Kiyota Company,USA,Sports & Fitness,kiyotacompany.com,Open,Jayden
Tiger Claw,USA,Sports & Fitness,tigerclaw.com,Open,Jayden
Snow Peak USA,USA,Sports & Fitness,snowpeak.com,Open,Jayden
Brussel's Bonsai,USA,Garden & Plants,brusselsbonsai.com,Open,Jayden
House of Bonsai,USA,Garden & Plants,houseofbonsai.com,Open,Jayden
Yamaguchi Bonsai Nursery,USA,Garden & Plants,yamaguchinursery.com,Open,Jayden
Lou's Bonsai,USA,Garden & Plants,lousbonsai.com,Open,Jayden
KYOTO BONSAI NURSERY,USA,Garden & Plants,kyoto-omuro.com,Open,Jayden
Japanese Taste,USA,Pharmaceuticals & Supplements,japanesetaste.com,Open,Jayden
Kokoro Japan,USA,Pharmaceuticals & Supplements,kokorojapanstore.com,Open,Jayden
Naturacare,USA,Pharmaceuticals & Supplements,naturacare.jp,Open,Jayden
Yotsuba Japan,USA,Pharmaceuticals & Supplements,yotsubajapan.com,Open,Jayden
36Best,USA,Pharmaceuticals & Supplements,36best.com,Open,Jayden
TCMzone,USA,Pharmaceuticals & Supplements,tcmzone.com,Open,Jayden
Solstice Medicine,USA,Pharmaceuticals & Supplements,solsticemed.com,Open,Jayden
KPC Herbs,USA,Pharmaceuticals & Supplements,kpc.com,Open,Jayden
Daishin Corporation,USA,Chemicals & Materials,daishin-corp.com,Open,Jayden
Mitsui & Co. (USA),USA,Chemicals & Materials,mitsui.com,Open,Jayden
Mitsubishi Chemical America,USA,Chemicals & Materials,us.mitsubishi-chemical.com,Open,Jayden
Mitsui Chemicals America,USA,Chemicals & Materials,us.mitsuichemicals.com,Open,Jayden
Sekisui Chemical,USA,Chemicals & Materials,sekisuichemical.com,Open,Jayden
ITA Inc,USA,Chemicals & Materials,itaoffice.com,Open,Jayden
Takigawa Corporation,USA,Chemicals & Materials,takigawa-corp.com,Open,Jayden
